Date,ScalerCorr,error,pressure,activeSD
1119139200,1596.55,0,865.58,1078
1119139500,1595.49,0,865.58,1068.33
1119139800,1595.13,0,865.57,1072
1119140100,1595.17,0,865.538,1073.33
1119140400,1595.54,0,865.507,1072.33
1119140700,1595.83,0,865.507,1073.67
1119141000,1596.36,0,865.518,1071.33
1119141300,1596.26,0,865.488,1074
1119141600,1595.91,0,865.437,1072
1119141900,1595.55,0,865.437,1077.33
1119142200,1595.53,0,865.478,1074
1119142500,1595.4,0,865.478,1074.33
1119142800,1595.59,0,865.415,1072
1119143100,1595.81,0,865.352,1071
1119143400,1595.95,0,865.34,1067
1119143700,1595.63,0,865.37,1065
1119144000,1595.31,0,865.402,1070.67
1119144300,1595.49,0,865.408,1075.67
1119144600,1595.63,0,865.395,1073.67
1119144900,1595.85,0,865.395,1072
1119145200,1595.9,0,865.398,1077.33
1119145500,1595.89,0,865.362,1085
1119145800,1595.66,0,865.287,1089.67
1119146100,1595.18,0,865.218,1086.33
1119146400,1595.35,0,865.18,1085.67
1119146700,1595.52,0,865.15,1081.33
1119147000,1596.01,0,865.125,1079.33
1119147300,1596.14,0,865.125,1079.33
1119147600,1596.53,0,865.14,1085.33
1119147900,1596.63,0,865.14,1089.33
1119148200,1596.79,0,865.128,1091
1119148500,1596.87,0,865.137,1089.67
1119148800,1597.47,0,865.16,1088.67
1119149100,1597.73,0,865.16,1092
1119149400,1597.95,0,865.13,1095
1119149700,1597.93,0,865.1,1099.67
1119150000,1598.35,0,865.093,1097.33
1119150300,1598.98,0,865.102,1093.33
1119150600,1599.4,0,865.088,1090
1119150900,1599.27,0,865.025,1092
1119151200,1599.34,0,864.955,1099
1119151500,1599.31,0,864.948,1102.67
1119151800,1599.29,0,864.998,1099
1119152100,1065.99,0,865.03,1093.33
1119152400,1066.14,0,865.02,1092
1119152700,1067.18,0,865.02,1096.67
1119153000,1601.1,0,865.032,1095
1119153300,1601.5,0,865.007,1092.33
1119153600,1601.13,0,864.938,1093.33
1119153900,1601.17,0,864.868,1094
1119154200,1601.7,0,864.833,1096.33
1119154500,1602.5,0,864.827,1097.67
1119154800,1602.81,0,864.822,1100
1119155100,1602.86,0,864.798,1103.33
1119155400,1603.08,0,864.76,1100
1119155700,1603.39,0,864.73,1101.67
1119156000,1603.61,0,864.715,1102.33
1119156300,1603.74,0,864.7,1109.67
1119156600,1604.25,0,864.665,1108.33
1119156900,1604.86,0,864.605,1105.33
1119157200,1605.39,0,864.53,1101.67
1119157500,1605.47,0,864.455,1101.33
1119157800,1605.46,0,864.39,1105
1119158100,1605.63,0,864.328,1103.67
1119158400,1606.04,0,864.287,1110.33
1119158700,1606.85,0,864.287,1110.67
1119159000,1607.36,0,864.308,1111.67
1119159300,1608.14,0,864.308,1109.33
1119159600,1608.24,0,864.265,1108.33
1119159900,1608.62,0,864.202,1109.67
1119160200,1608.58,0,864.15,1108
1119160500,1609.05,0,864.12,1109.67
1119160800,1609.21,0,864.117,1110
1119161100,1609.33,0,864.138,1108.67
1119161400,1609.37,0,864.143,1100.67
1119161700,1609.64,0,864.092,1096.67
1119162000,1609.68,0,863.987,1098
1119162300,1609.63,0,863.872,1108.67
1119162600,1609.6,0,863.793,1112
1119162900,1609.62,0,863.753,1117
1119163200,1609.75,0,863.72,1116
1119163500,1609.44,0,863.66,1118
1119163800,1609.27,0,863.565,1115.67
1119164100,1608.78,0,863.46,1112
1119164400,1608.69,0,863.378,1110.33
1119164700,1608.64,0,863.327,1108.67
1119165000,1608.87,0,863.305,1108
1119165300,1609.46,0,863.305,1108.33
1119165600,1609.52,0,863.288,1108.67
1119165900,1610,0,863.225,1111
1119166200,1609.57,0,863.13,1110.67
1119166500,1609.77,0,863.052,1109.33
1119166800,1609.57,0,863.018,1109.33
1119167100,1610.09,0,863.012,1108.33
1119167400,1610.11,0,863.01,1107.33
1119167700,1609.97,0,863.01,1107.67
1119168000,1609.76,0,862.997,1108.67
1119168300,1609.44,0,862.958,1109.33
1119168600,1609.27,0,862.89,1106
1119168900,1608.47,0,862.8,1107
1119169200,1608.34,0,862.713,1110.67
1119169500,1607.98,0,862.647,1111.67
1119169800,1608.13,0,862.605,1109
1119170100,1608.01,0,862.573,1109
1119170400,1608.4,0,862.535,1110
1119170700,1608.41,0,862.487,1111.33
1119171000,1608.51,0,862.445,1108.67
1119171300,1608.21,0,862.43,1109
1119171600,1608.09,0,862.445,1109
1119171900,1608.46,0,862.475,1108.67
1119172200,1608.36,0,862.48,1106
1119172500,1608.18,0,862.435,1106
1119172800,1607.45,0,862.377,1109
1119173100,1607.46,0,862.368,1112
1119173400,1607.48,0,862.41,1108.33
1119173700,1607.53,0,862.44,1107
1119174000,1607.04,0,862.428,1108
1119174300,1606.97,0,862.407,1112.33
1119174600,1606.89,0,862.39,1110.33
1119174900,1606.62,0,862.36,1109.33
1119175200,1606.04,0,862.33,1111
1119175500,1605.42,0,862.33,1112
1119175800,1605.68,0,862.355,1110.33
1119176100,1605.86,0,862.37,1106.67
1119176400,1606.32,0,862.375,1105.67
1119176700,1606.33,0,862.405,1106.33
1119177000,1606.11,0,862.445,1104.67
1119177300,1605.68,0,862.445,1103
1119177600,1605.26,0,862.398,1103.33
1119177900,1604.99,0,862.347,1109.67
1119178200,1604.33,0,862.318,1112
1119178500,1604.03,0,862.302,1113
1119178800,1604,0,862.288,1113.67
1119179100,1604.15,0,862.282,1118.33
1119179400,1604.32,0,862.28,1113
1119179700,1604.21,0,862.28,1109.33
1119180000,1604.33,0,862.28,1102.67
1119180300,1604.38,0,862.28,1105
1119180600,1604.43,0,862.273,1105
1119180900,1604.22,0,862.252,1108.33
1119181200,1604.07,0,862.23,1112
1119181500,1604.22,0,862.23,1111
1119181800,1604.68,0,862.252,1111
1119182100,1605.22,0,862.273,1112
1119182400,1605.91,0,862.28,1111
1119182700,1606.73,0,862.28,1110
1119183000,1607.81,0,862.288,1106
1119183300,1608.37,0,862.312,1107.33
1119183600,1608.93,0,862.343,1107.67
1119183900,1609.2,0,862.372,1102.33
1119184200,1609.89,0,862.378,1101
1119184500,1610.9,0,862.357,1103.67
1119184800,1612.03,0,862.33,1108.33
1119185100,1613.2,0,862.33,1106.67
1119185400,1613.92,0,862.34,1101.67
1119185700,1614.62,0,862.31,1103
1119186000,1615.38,0,862.247,1103.33
1119186300,1616.37,0,862.208,1100.67
1119186600,1617.76,0,862.21,1092.67
1119186900,1619.18,0,862.21,1090.33
1119187200,1620.46,0,862.198,1086
1119187500,1621.33,0,862.207,1087.67
1119187800,1622,0,862.235,1082.67
1119188100,1622.27,0,862.25,1085.67
1119188400,1622.58,0,862.255,1087
1119188700,1622.88,0,862.285,1094.67
1119189000,1623.52,0,862.32,1094
1119189300,1623.63,0,862.305,1092
1119189600,1623.97,0,862.25,1089
1119189900,1624.57,0,862.22,1089.67
1119190200,1625.74,0,862.242,1089
1119190500,1626.49,0,862.278,1084.67
1119190800,1626.8,0,862.28,1079
1119191100,1626.47,0,862.235,1079
1119191400,1627.02,0,862.173,1078.33
1119191700,1627.57,0,862.137,1081.33
1119192000,1628.46,0,862.13,1083
1119192300,1628.62,0,862.113,1090
1119192600,1628.66,0,862.065,1092.33
1119192900,1627.61,0,862.002,1092
1119193200,1627.08,0,861.955,1085.67
1119193500,1626.75,0,861.94,1084.67
1119193800,1627.48,0,861.925,1075.67
1119194100,1627.38,0,861.865,1077.33
1119194400,1627.45,0,861.78,1076.67
1119194700,1627.62,0,861.735,1080.67
