Date,ScalerCorr,pressure,activeSD
1119139200,1595.91,2.57015e+31,1075
1119141000,1595.78,865.435,1071.42
1119142800,1595.68,865.386,1073.92
1119144600,1595.75,865.266,1080.92
1119146400,1596.5,865.148,1087
1119148200,1598.04,865.102,1093.08
1119150000,1466.02,865.034,1096.25
1119151800,1467.52,864.946,1096.67
1119153600,1602.61,864.806,1100.17
1119155400,1604.46,864.58,1103.75
1119157200,1606.75,864.342,1106.67
1119159000,1608.71,864.18,1107
1119160800,1609.47,863.916,1109.17
1119162600,1609.3,863.534,1112.17
1119164400,1609.45,863.206,1109.42
1119166200,1609.47,862.985,1108.67
1119168000,1608.69,862.722,1109
1119169800,1608.2,862.493,1108.83
1119171600,1607.68,862.424,1108.92
1119173400,1606.59,862.379,1109.58
1119175200,1605.75,862.373,1108
1119177000,1604.83,862.34,1109.33
1119178800,1604.21,862.268,1109.75
1119180600,1605.73,862.274,1108.58
1119182400,1609.34,862.325,1106.5
1119184200,1614.41,862.291,1100.33
1119186000,1619.86,862.244,1092.75
1119187800,1623.83,862.262,1087.75
1119189600,1626.52,862.204,1085.5
1119191400,1627.53,862.027,1082.83
1119193200,1492.06,861.795,1079.75
1119195000,1491.62,861.412,1077.25
1119196800,1624.93,860.797,1082.75
1119198600,1622.77,860.232,1090.08
1119200400,1620.08,859.786,1092.25
1119202200,1616.38,859.433,1097.58
1119204000,1612.44,859.194,1098
1119205800,1608.6,858.99,1097.08
1119207600,1605.55,858.894,1100.08
1119209400,1602.62,858.862,1102.58
1119211200,1599.75,858.984,1103.67
1119213000,1596.43,859.232,1097.33
1119214800,1592.34,859.377,1093.08
1119216600,1588.92,859.489,1090.75
1119218400,1587.16,859.647,1089.25
1119220200,1586.28,859.819,1095.08
1119222000,1585.78,859.963,1098
1119052800,1603.66,870.198,1066.75
1119054600,1597.73,870.158,1064.08
1119056400,1595.96,870.077,1065.83
1119058200,1594.58,870,1064.92
1119060000,1593.96,870.181,1065.92
1119061800,1595.08,870.477,1068
