date,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin
0,2006.01.01 14:05:00,0.7,0.9,1.67,-1,-0.29,3,16.8,-2.1,503.0,-16.0
1,2006.01.04 20:00:00,0.7,1.1,0.84,7,-0.16,9,7.0,-4.5,359.0,-12.0
2,2006.01.06 07:00:00,0.6,0.94,0.86,69,-0.2,9,8.5,-5.4,401.0,-23.0
3,2006.01.10 17:00:00,0.6,0.81,0.7,-2,-0.16,9,5.8,-4.8,336.0,-2.0
4,2006.01.15 14:00:00,1.3,1.04,1.3,28,-0.24,9,12.3,-6.1,459.0,-20.0
5,2006.01.18 05:00:00,0.5,0.75,1.12,8,-0.19,9,7.1,-3.2,555.0,-15.0
6,2006.01.22 14:00:00,0.8,0.81,1.05,34,-0.24,9,15.1,-8.3,615.0,-21.0
7,2006.01.25 04:00:00,1.3,0.8,1.3,11,-0.32,9,11.1,-8.0,447.0,-34.0
8,2006.01.26 03:00:00,0.8,1.01,1.25,18,-0.2,9,11.3,-6.6,683.0,-43.0
9,2006.01.30 19:00:00,0.4,0.76,1.26,-1,-0.11,9,4.9,-3.1,334.0,-1.0
10,2006.02.01 03:00:00,0.6,0.68,0.85,70,-0.19,9,7.7,-5.3,364.0,-17.0
11,2006.02.05 17:00:00,0.7,0.93,1.08,13,-0.23,9,11.7,-9.7,367.0,-25.0
12,2006.02.10 10:00:00,0.5,0.8,0.73,40,-0.23,9,10.6,-5.6,493.0,-7.0
13,2006.02.13 22:00:00,0.3,0.56,0.64,2,-0.17,9,8.0,-3.4,372.0,-3.0
14,2006.02.15 07:00:00,0.4,0.53,1.01,43,-0.16,9,10.0,-6.1,561.0,-17.0
15,2006.02.18 20:00:00,0.4,0.59,0.66,10,-0.15,9,7.7,-2.6,398.0,-15.0
16,2006.02.20 04:00:00,1.3,0.6,1.22,21,-0.2,9,11.1,-5.6,690.0,-42.0
17,2006.02.26 04:00:00,0.5,0.81,1.27,40,-0.21,9,7.5,-4.9,372.0,-18.0
18,2006.02.28 10:00:00,0.7,0.89,1.4,11,-0.13,9,7.3,-6.7,444.0,-15.0
19,2006.03.03 01:00:00,0.8,0.88,0.91,20,-0.14,9,5.7,-3.0,422.0,-2.0
20,2006.03.06 07:00:00,0.8,0.73,0.9,17,-0.3,9,14.1,-9.0,415.0,-40.0
21,2006.03.09 02:00:00,1.1,1.12,1.05,52,-0.23,9,10.9,-6.6,569.0,-17.0
22,2006.03.14 10:00:00,0.5,1.14,1.19,21,-0.17,9,13.5,-2.7,557.0,-3.0
23,2006.03.18 02:00:00,0.7,1.41,1.3,22,-0.27,9,12.3,-5.0,719.0,-43.0
24,2006.03.24 09:00:00,0.8,1.09,1.25,30,-0.21,9,7.1,-2.9,407.0,-15.0
25,2006.03.25 19:00:00,0.2,0.94,0.52,-1,-0.14,9,5.3,-2.9,360.0,-6.0
26,2006.03.26 13:00:00,0.6,1.08,0.84,11,-0.18,9,8.3,-6.3,422.0,-28.0
27,2006.04.03 19:00:00,1.1,1.04,0.82,29,-0.19,9,12.7,-10.9,347.0,-85.0
28,2006.04.05 16:00:00,0.7,1.2,0.99,12,-0.17,9,14.4,-9.9,460.0,-87.0
29,2006.04.08 07:00:00,1.1,1.31,1.65,44,-0.31,9,17.7,-15.2,693.0,-80.0
30,2006.04.13 03:00:00,2.7,1.27,1.25,30,-0.63,9,19.6,-11.6,550.0,-111.0
31,2006.04.14 12:00:00,0.7,1.17,0.9,0,-0.16,9,12.9,-10.6,684.0,-92.0
32,2006.04.17 20:00:00,0.6,0.77,1.02,5,-0.19,9,7.5,-3.4,515.0,-32.0
33,2006.04.20 11:12:00,0.3,0.68,0.82,-1,-0.1,3,8.2,-4.1,400.0,-18.0
34,2006.04.21 15:00:00,0.8,0.89,0.78,15,-0.24,9,11.9,-7.8,514.0,-40.0
35,2006.04.22 09:00:00,0.6,1.01,1.04,12,-0.17,9,12.7,-9.6,596.0,-41.0
36,2006.04.26 21:00:00,0.3,0.88,0.76,8,-0.14,9,5.3,-2.6,339.0,-16.0
37,2006.04.28 01:16:00,1.1,1.0,0.89,8,-0.34,3,9.8,-5.0,435.0,-21.0
38,2006.05.02 06:00:00,0.5,0.59,0.67,0,-0.12,9,4.0,-2.2,289.0,4.0
39,2006.05.03 18:00:00,0.5,0.56,0.62,9,-0.19,9,9.9,-5.9,331.0,-3.0
40,2006.05.04 11:00:00,0.7,0.85,0.96,20,-0.18,9,14.0,-12.0,397.0,-42.0
41,2006.05.06 10:00:00,1.2,1.16,1.2,18,-0.29,9,15.5,-6.8,637.0,-47.0
42,2006.05.10 19:00:00,0.9,1.12,1.33,22,-0.21,9,9.7,-4.4,667.0,-22.0
43,2006.05.17 07:00:00,1.3,1.14,1.16,53,-0.17,9,14.6,-8.6,594.0,-38.0
44,2006.05.22 02:00:00,0.7,0.51,1.36,20,-0.18,9,6.1,-3.1,502.0,-12.0
45,2006.05.25 18:00:00,0.3,0.73,1.07,11,-0.19,9,4.7,-2.0,364.0,-4.0
46,2006.05.27 22:00:00,0.4,0.6,0.85,56,-0.13,9,5.7,-3.1,329.0,-11.0
47,2006.05.30 10:00:00,0.6,0.78,1.09,10,-0.13,9,9.3,-4.5,351.0,-5.0
48,2006.05.31 07:00:00,0.8,1.15,0.86,15,-0.45,9,10.3,-4.5,603.0,-13.0
49,2006.06.06 05:00:00,0.9,0.83,1.1,64,-0.28,9,14.0,-8.1,669.0,-45.0
50,2006.06.14 06:00:00,0.8,0.95,0.8,56,-0.25,9,11.1,-5.1,615.0,-30.0
51,2006.06.21 15:00:00,0.6,0.89,1.11,63,-0.16,9,5.3,-3.1,338.0,-8.0
52,2006.06.27 11:00:00,1.3,1.04,0.9,51,-0.28,9,14.0,-4.3,601.0,-24.0
53,2006.07.04 00:00:00,1.0,1.61,0.94,71,-0.28,9,18.4,-4.7,633.0,-34.0
54,2006.07.09 21:36:00,3.8,1.95,2.88,34,-0.38,1,9.7,-6.4,438.0,-23.0
55,2006.07.11 11:00:00,1.4,1.66,1.57,1,-0.26,9,14.8,-3.2,528.0,-17.0
56,2006.07.14 10:00:00,0.8,1.32,1.58,0,-0.2,9,10.5,-8.6,473.0,-35.0
57,2006.07.18 16:00:00,0.3,0.83,0.66,24,-0.15,9,5.4,-2.2,327.0,-4.0
58,2006.07.22 01:00:00,0.4,0.72,0.8,-2,-0.15,9,5.3,-3.0,331.0,-10.0
