date,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin
0,1957.07.05 00:42:00,3.8,1.69,3.87,10,-0.81,1,-999.0,999.0,-999.0,-92.0
1,1957.07.06 20:00:00,1.6,1.84,3.92,-2,-0.66,9,-999.0,999.0,-999.0,-45.0
2,1957.07.09 06:00:00,1.4,1.88,4.22,1,-1.07,9,-999.0,999.0,-999.0,-12.0
3,1957.07.11 10:00:00,1.5,1.77,3.45,9,-1.07,9,-999.0,999.0,-999.0,-12.0
4,1957.07.13 19:00:00,1.2,2.63,3.8,8,-0.7,9,-999.0,999.0,-999.0,-2.0
5,1957.07.16 07:12:00,1.8,1.95,4.67,26,-0.78,1,-999.0,999.0,-999.0,-26.0
6,1957.07.18 13:00:00,1.5,2.97,4.13,5,-0.52,9,-999.0,999.0,-999.0,-21.0
7,1957.07.19 15:00:00,3.2,1.65,4.59,13,-0.87,9,-999.0,999.0,-999.0,-55.0
8,1957.07.22 04:18:00,2.7,4.39,4.47,3,-1.3,1,-999.0,999.0,-999.0,-30.0
9,1957.07.26 04:00:00,1.5,2.14,3.97,2,-0.76,9,-999.0,999.0,-999.0,6.0
10,1957.07.27 20:00:00,2.4,2.33,5.04,11,-0.82,1,-999.0,999.0,-999.0,21.0
11,1957.07.29 01:00:00,2.8,2.52,6.11,7,-1.43,9,-999.0,999.0,-999.0,-20.0
12,1957.08.01 22:00:00,1.2,1.48,2.22,2,-0.47,9,-999.0,999.0,-999.0,-7.0
13,1957.08.03 15:54:00,8.4,2.6,3.15,57,-0.58,1,-999.0,999.0,-999.0,-39.0
14,1957.08.06 05:06:00,2.4,1.64,3.6,-2,-0.25,1,-999.0,999.0,-999.0,-45.0
15,1957.08.09 13:48:00,0.9,1.47,2.37,0,-0.17,1,-999.0,999.0,-999.0,-8.0
16,1957.08.10 16:00:00,2.0,1.49,2.03,14,-0.32,9,-999.0,999.0,-999.0,-8.0
17,1957.08.12 04:00:00,1.1,1.78,2.92,7,-0.33,9,-999.0,999.0,-999.0,-56.0
18,1957.08.14 01:00:00,2.4,2.49,3.66,1,-0.54,9,-999.0,999.0,-999.0,-43.0
19,1957.08.18 12:00:00,2.7,2.05,3.78,-2,-0.46,9,-999.0,999.0,-999.0,-17.0
