<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1251"><title>Mexico cosmic ray station. </title></head> 
 <body>
<center><font size="+2"><b>Mexico cosmic ray station.</b></font>
<center><font size="+1"><b>Corrected for pressure data.</b></font>
<pre>YYYY.MM.DD hh:mm   imp/min
*********************************************************
2006.01.01 00:00   12957
2006.01.01 01:00   12979
2006.01.01 02:00   13008
2006.01.01 03:00   13022
2006.01.01 04:00   13006
2006.01.01 05:00   13051
2006.01.01 06:00   13067
2006.01.01 07:00   13112
2006.01.01 08:00   13104
2006.01.01 09:00   0
2006.01.01 10:00   0
2006.01.01 11:00   13117
2006.01.01 12:00   13109
2006.01.01 13:00   13100
2006.01.01 14:00   13092
2006.01.01 15:00   13068
2006.01.01 16:00   13094
2006.01.01 17:00   13073
2006.01.01 18:00   13058
2006.01.01 19:00   13077
2006.01.01 20:00   13056
2006.01.01 21:00   13084
2006.01.01 22:00   13108
2006.01.01 23:00   13039
2006.01.02 00:00   13023
2006.01.02 01:00   13134
2006.01.02 02:00   13118
2006.01.02 03:00   13141
2006.01.02 04:00   13114
2006.01.02 05:00   13140
2006.01.02 06:00   13158
2006.01.02 07:00   13163
2006.01.02 08:00   13212
2006.01.02 09:00   13180
2006.01.02 10:00   13215
2006.01.02 11:00   13206
2006.01.02 12:00   13233
2006.01.02 13:00   13172
2006.01.02 14:00   13173
2006.01.02 15:00   13112
2006.01.02 16:00   13152
2006.01.02 17:00   13164
2006.01.02 18:00   13122
2006.01.02 19:00   13162
2006.01.02 20:00   13173
2006.01.02 21:00   13163
2006.01.02 22:00   13150
2006.01.02 23:00   13142
2006.01.03 00:00   13155
2006.01.03 01:00   13172
2006.01.03 02:00   13196
2006.01.03 03:00   13182
2006.01.03 04:00   13222
2006.01.03 05:00   13220
2006.01.03 06:00   13178
2006.01.03 07:00   13213
2006.01.03 08:00   13163
2006.01.03 09:00   13200
2006.01.03 10:00   13166
2006.01.03 11:00   13213
2006.01.03 12:00   13217
2006.01.03 13:00   13204
2006.01.03 14:00   13194
2006.01.03 15:00   13235
2006.01.03 16:00   13188
2006.01.03 17:00   13207
2006.01.03 18:00   13242
2006.01.03 19:00   13168
2006.01.03 20:00   13152
2006.01.03 21:00   13164
2006.01.03 22:00   13198
2006.01.03 23:00   13151
2006.01.04 00:00   13171
2006.01.04 01:00   13224
2006.01.04 02:00   13148
2006.01.04 03:00   13146
2006.01.04 04:00   13247
2006.01.04 05:00   13195
2006.01.04 06:00   13184
2006.01.04 07:00   13200
2006.01.04 08:00   13205
2006.01.04 09:00   13270
2006.01.04 10:00   13228
2006.01.04 11:00   13241
2006.01.04 12:00   13174
2006.01.04 13:00   13151
2006.01.04 14:00   13192
2006.01.04 15:00   13173
2006.01.04 16:00   13226
2006.01.04 17:00   13227
2006.01.04 18:00   13201
2006.01.04 19:00   13199
2006.01.04 20:00   13188
2006.01.04 21:00   13170
2006.01.04 22:00   13180
2006.01.04 23:00   13156
2006.01.05 00:00   13178
2006.01.05 01:00   13188
2006.01.05 02:00   13142
2006.01.05 03:00   13166
2006.01.05 04:00   13157
2006.01.05 05:00   13204
2006.01.05 06:00   13189
2006.01.05 07:00   13185
2006.01.05 08:00   13160
2006.01.05 09:00   13171
2006.01.05 10:00   13169
2006.01.05 11:00   13189
2006.01.05 12:00   13219
2006.01.05 13:00   13231
2006.01.05 14:00   13196
2006.01.05 15:00   13200
2006.01.05 16:00   13140
2006.01.05 17:00   13157
2006.01.05 18:00   13146
2006.01.05 19:00   13218
2006.01.05 20:00   13200
2006.01.05 21:00   13234
2006.01.05 22:00   13169
2006.01.05 23:00   13159
2006.01.06 00:00   13210
2006.01.06 01:00   13173
2006.01.06 02:00   13173
2006.01.06 03:00   13183
2006.01.06 04:00   13171
2006.01.06 05:00   13195
2006.01.06 06:00   13190
2006.01.06 07:00   13193
2006.01.06 08:00   13212
2006.01.06 09:00   13230
2006.01.06 10:00   13169
2006.01.06 11:00   13277
2006.01.06 12:00   13244
2006.01.06 13:00   13247
2006.01.06 14:00   13211
2006.01.06 15:00   13254
