DATE,TSMB,ATHN,MXCO,ROME,OULU
2006-01-01 00:00:00,324.971, 54.535,217.712,148.928,101.445
2006-01-02 00:00:00,325.676, 54.639,219.248,149.769,102.270
2006-01-03 00:00:00,325.625, 54.759,219.858,150.274,102.841
2006-01-04 00:00:00,325.846, 54.859,219.925,150.447,103.335
2006-01-05 00:00:00,325.585, 54.897,219.698,150.377,102.962
2006-01-06 00:00:00,326.978, 55.212,220.486,151.322,104.203
2006-01-07 00:00:00,326.463, 55.082,220.513,151.213,104.329
2006-01-08 00:00:00,327.581, 55.086,220.583,151.488,104.588
2006-01-09 00:00:00,327.405, 55.067,220.659,151.439,104.473
2006-01-10 00:00:00,326.816, 55.100,220.356,151.348,104.100
2006-01-11 00:00:00,327.728, 55.357,221.011,151.799,104.527
2006-01-12 00:00:00,328.417, 55.392,221.546,152.085,105.158
2006-01-13 00:00:00,328.308, 55.380,221.715,152.337,104.907
2006-01-14 00:00:00,328.351, 55.463,221.906,152.514,105.048
2006-01-15 00:00:00,329.000, 55.585,222.450,152.874,105.655
2006-01-16 00:00:00,328.236, 55.470,221.627,152.471,105.272
2006-01-17 00:00:00,328.207, 55.491,222.164,152.138,105.207
2006-01-18 00:00:00,328.652, 55.465,222.062,151.756,105.632
2006-01-19 00:00:00,329.132, 55.477,222.114,151.867,105.908
2006-01-20 00:00:00,329.097, 55.573,222.348,151.899,106.112
2006-01-21 00:00:00,329.513, 55.562,222.592,152.312,106.248
2006-01-22 00:00:00,330.214, 55.673,223.141,152.970,106.275
2006-01-23 00:00:00,330.807, 55.766,223.381,153.887,105.877
2006-01-24 00:00:00,329.859, 55.561,222.974,153.522,105.390
2006-01-25 00:00:00,327.240, 55.300,221.442,152.580,104.204
2006-01-26 00:00:00,327.907, 55.427,221.638,152.696,104.312
2006-01-27 00:00:00,327.165, 55.220,220.813,152.197,104.425
2006-01-28 00:00:00,327.495, 55.307,221.228,151.759,104.598
2006-01-29 00:00:00,327.915, 55.304,221.625,151.861,104.676
2006-01-30 00:00:00,328.403, 55.358,222.165,152.165,105.031
2006-01-31 00:00:00,328.532, 55.585,222.628,152.690,105.219
2006-02-01 00:00:00,329.195, 55.573,222.774,152.808,105.364
2006-02-02 00:00:00,330.153, 55.686,222.952,152.859,105.586
2006-02-03 00:00:00,330.551, 55.637,222.923,152.669,105.667
2006-02-04 00:00:00,329.773, 55.558,222.835,152.901,105.650
2006-02-05 00:00:00,328.491, 55.495,222.954,153.068,105.779
2006-02-06 00:00:00,328.620, 55.578,222.842,153.250,105.062
2006-02-07 00:00:00,329.602, 55.824,222.931,153.676,105.529
2006-02-08 00:00:00,329.733, 55.891,223.176,153.443,105.571
2006-02-09 00:00:00,329.547, 55.580,222.952,153.216,105.724
2006-02-10 00:00:00,329.388, 55.567,222.932,153.109,105.822
2006-02-11 00:00:00,329.543, 55.641,223.294,153.234,105.767
2006-02-12 00:00:00,329.234, 55.695,222.808,153.268,105.496
2006-02-13 00:00:00,329.920, 55.853,223.045,153.890,105.678
2006-02-14 00:00:00,329.954, 55.770,223.256,153.725,105.985
2006-02-15 00:00:00,329.768, 55.831,223.476,153.526,105.627
2006-02-16 00:00:00,330.236, 55.901,223.738,153.041,105.908
2006-02-17 00:00:00,330.931, 55.750,224.084,153.199,106.410
2006-02-18 00:00:00,330.769, 55.822,224.542,153.391,106.729
2006-02-19 00:00:00,331.146, 55.965,224.681,153.893,106.524
2006-02-20 00:00:00,330.777, 55.863,224.575,153.689,106.178
2006-02-21 00:00:00,329.314, 55.738,223.502,153.202,105.452
2006-02-22 00:00:00,330.190, 55.730,223.918,153.003,105.259
2006-02-23 00:00:00,331.642, 55.981,224.249,153.274,105.735
2006-02-24 00:00:00,332.344, 56.055,224.541,153.447,105.948
2006-02-25 00:00:00,330.535, 55.850,224.271,153.332,106.379
2006-02-26 00:00:00,330.894, 56.059,224.516,153.577,106.863
2006-02-27 00:00:00,331.150, 55.893,224.687,153.543,106.752
2006-02-28 00:00:00,330.690, 55.778,224.134,153.170,106.334
2006-03-01 00:00:00,330.136, 55.630,223.387,152.706,106.244
2006-03-02 00:00:00,330.508, 55.640,224.053,153.137,106.567
2006-03-03 00:00:00,   null, 55.785,224.028,153.025,106.610
2006-03-04 00:00:00,   null, 55.803,224.582,153.379,107.018
2006-03-05 00:00:00,   null, 55.916,224.676,153.870,107.372
2006-03-06 00:00:00,331.900, 55.904,224.676,154.519,107.553
2006-03-07 00:00:00,331.939, 56.232,225.398,154.935,107.275
2006-03-08 00:00:00,332.258, 56.291,225.388,154.656,107.388
2006-03-09 00:00:00,331.727, 56.031,225.090,153.737,107.248
2006-03-10 00:00:00,330.309, 55.682,224.408,153.153,106.510
2006-03-11 00:00:00,330.610, 55.772,224.582,154.165,106.499
2006-03-12 00:00:00,330.496, 56.024,224.498,154.251,106.668
2006-03-13 00:00:00,330.263, 56.041,224.464,154.126,106.883
2006-03-14 00:00:00,331.382, 55.933,224.787,153.688,106.782
2006-03-15 00:00:00,330.704, 55.644,224.229,153.688,106.929
2006-03-16 00:00:00,329.493, 55.692,224.435,153.120,106.459
2006-03-17 00:00:00,329.873, 55.829,224.359,153.545,106.650
2006-03-18 00:00:00,332.133, 56.034,225.293,153.904,106.936
2006-03-19 00:00:00,331.859, 56.022,222.591,154.206,107.357
2006-03-20 00:00:00,331.147, 55.930,224.959,153.922,107.592
2006-03-21 00:00:00,331.462, 55.935,225.239,153.889,107.344
2006-03-22 00:00:00,330.704, 55.863,224.563,154.227,107.503
2006-03-23 00:00:00,   null, 56.062,225.004,154.355,107.804
2006-03-24 00:00:00,330.242, 55.882,224.295,153.604,107.195
2006-03-25 00:00:00,330.469, 55.881,223.752,153.382,107.486
2006-03-26 00:00:00,330.108, 55.859,223.547,153.133,107.080
2006-03-27 00:00:00,330.560, 55.885,223.689,153.138,106.980
2006-03-28 00:00:00,331.343, 55.859,223.895,153.450,107.289
2006-03-29 00:00:00,331.840, 55.924,224.095,154.015,107.675
2006-03-30 00:00:00,331.448, 56.051,224.166,153.988,107.701
2006-03-31 00:00:00,332.017, 56.142,224.599,154.096,107.813
2006-04-01 00:00:00,332.488, 56.111,224.878,154.202,107.626
2006-04-02 00:00:00,331.782, 56.023,224.691,153.875,107.618
2006-04-03 00:00:00,331.533, 56.006,224.890,153.973,107.651
2006-04-04 00:00:00,331.332, 55.840,224.483,153.735,106.667
2006-04-05 00:00:00,333.303, 56.253,225.634,154.499,107.012
2006-04-06 00:00:00,332.371, 55.969,225.543,154.317,106.889
2006-04-07 00:00:00,332.197, 56.071,225.214,154.464,107.190
2006-04-08 00:00:00,332.106, 56.036,225.001,154.309,107.204
2006-04-09 00:00:00,333.228, 56.082,225.014,154.215,106.898
2006-04-10 00:00:00,332.081, 55.911,224.397,153.793,106.949
2006-04-11 00:00:00,332.276, 56.023,225.224,154.423,107.584
2006-04-12 00:00:00,332.385, 56.144,225.751,154.686,107.703
2006-04-13 00:00:00,331.927, 56.091,141.360,154.332,107.286
2006-04-14 00:00:00,331.262, 56.028,223.970,153.876,106.622
2006-04-15 00:00:00,330.496, 55.890,221.539,153.471,107.005
2006-04-16 00:00:00,330.465, 55.753,224.331,153.220,106.986
2006-04-17 00:00:00,330.300, 55.792,224.041,153.178,107.007
2006-04-18 00:00:00,330.894, 55.830,224.343,153.490,107.059
2006-04-19 00:00:00,331.445, 56.030,224.863,153.451,107.109
2006-04-20 00:00:00,331.808, 56.007,224.972,153.905,107.434
2006-04-21 00:00:00,331.638, 55.916,225.061,153.910,107.611
2006-04-22 00:00:00,331.432, 55.877,224.233,153.750,107.050
2006-04-23 00:00:00,331.075, 55.843,225.471,153.266,106.907
2006-04-24 00:00:00,331.608, 55.866,224.254,153.565,107.160
2006-04-25 00:00:00,331.765, 56.002,226.008,153.848,107.607
2006-04-26 00:00:00,332.029, 56.008,224.846,154.099,107.815
2006-04-27 00:00:00,332.111, 56.053,225.017,154.331,108.007
2006-04-28 00:00:00,330.574, 55.817,224.184,153.482,106.992
2006-04-29 00:00:00,330.949, 55.922,221.780,153.768,107.533
2006-04-30 00:00:00,331.043, 55.855,224.220,153.624,107.610
2006-05-01 00:00:00,331.359, 55.957,224.232,153.807,107.877
2006-05-02 00:00:00,331.426, 56.004,224.283,153.949,108.129
2006-05-03 00:00:00,332.289, 56.070,224.616,154.273,108.451
2006-05-04 00:00:00,332.043, 55.967,224.121,153.983,107.577
2006-05-05 00:00:00,331.734, 56.002,224.171,154.053,107.342
2006-05-06 00:00:00,331.673, 55.833,224.149,153.696,107.068
2006-05-07 00:00:00,331.311, 55.857,223.481,153.575,106.728
2006-05-08 00:00:00,331.623, 55.967,224.232,153.817,107.327
2006-05-09 00:00:00,332.550, 56.053,223.709,153.998,107.805
2006-05-10 00:00:00,332.388, 55.982,224.116,153.807,108.010
2006-05-11 00:00:00,331.987, 55.919,223.755,153.858,107.471
2006-05-12 00:00:00,331.798, 55.964,223.714,153.676,107.288
2006-05-13 00:00:00,331.411, 55.833,223.281,153.375,107.400
2006-05-14 00:00:00,331.783, 55.939,223.718,153.711,107.735
2006-05-15 00:00:00,331.553, 56.012,223.576,153.481,107.945
2006-05-16 00:00:00,331.805, 55.891,224.005,153.454,107.894
2006-05-17 00:00:00,332.660, 56.146,224.788,153.605,108.088
2006-05-18 00:00:00,331.961, 55.884,223.651,153.254,107.546
2006-05-19 00:00:00,331.089, 55.741,222.671,152.791,106.967
2006-05-20 00:00:00,331.876, 55.903,223.468,153.379,107.569
2006-05-21 00:00:00,332.431, 56.070,224.290,153.484,107.694
2006-05-22 00:00:00,332.286, 56.033,224.411,153.255,107.353
2006-05-23 00:00:00,332.093, 56.043,224.412,153.254,107.234
2006-05-24 00:00:00,332.542, 56.157,224.821,153.717,107.748
2006-05-25 00:00:00,332.514, 56.206,225.117,154.123,108.164
2006-05-26 00:00:00,332.935, 56.245,225.659,154.189,108.337
2006-05-27 00:00:00,333.282, 56.256,225.679,154.337,108.491
2006-05-28 00:00:00,333.387, 56.311,225.584,154.280,108.350
2006-05-29 00:00:00,333.707, 56.283,224.942,154.199,108.351
2006-05-30 00:00:00,332.362, 56.236,224.185,154.254,107.839
2006-05-31 00:00:00,332.244, 56.002,223.893,154.085,107.412
2006-06-01 00:00:00,331.479, 55.890,223.133,153.791,107.102
2006-06-02 00:00:00,331.824, 56.074,223.293,153.933,107.421
2006-06-03 00:00:00,331.487, 55.976,223.144,153.804,107.414
2006-06-04 00:00:00,331.410, 55.941,222.682,153.579,107.652
2006-06-05 00:00:00,331.704, 55.908,222.624,153.462,107.713
2006-06-06 00:00:00,332.943, 56.073,225.114,154.256,107.914
2006-06-07 00:00:00,332.811, 56.004,223.438,153.903,107.513
