Date,ScalerCorr,error,pressure,activeSD
1119139200,3191.72,0,1731.12,2151.33
1119139500,3191.03,0,1731.09,2140.67
1119139800,3190.96,0,1731.08,2145.67
1119140100,3191.52,0,1731.06,2144.67
1119140400,3191.8,0,1731,2146.33
1119140700,3191.74,0,1730.94,2145.67
1119141000,3191.9,0,1730.96,2148.67
1119141300,3191.79,0,1730.97,2148
1119141600,3191.3,0,1730.92,2146.33
1119141900,3191.14,0,1730.85,2149.33
1119142200,3191.34,0,1730.83,2145
1119142500,3191.34,0,1730.82,2141.33
1119142800,3191.22,0,1730.79,2137
1119143100,3191.12,0,1730.75,2141.67
1119143400,3191.44,0,1730.75,2142.67
1119143700,3191.26,0,1730.77,2138.67
1119144000,3191.16,0,1730.8,2142.67
1119144300,3191.39,0,1730.81,2153
1119144600,3191.52,0,1730.76,2158.67
1119144900,3191.51,0,1730.68,2161.67
1119145200,3191.08,0,1730.62,2163.67
1119145500,3191.24,0,1730.54,2170.67
1119145800,3191.19,0,1730.44,2171
1119146100,3191.19,0,1730.34,2165.67
1119146400,3191.49,0,1730.31,2165
1119146700,3192.06,0,1730.29,2166.67
1119147000,3192.64,0,1730.27,2168.67
1119147300,3192.93,0,1730.25,2170.33
1119147600,3193.4,0,1730.28,2175
1119147900,3194.1,0,1730.3,2178
1119148200,3194.52,0,1730.29,2183
1119148500,3194.82,0,1730.27,2184.67
1119148800,3195.4,0,1730.26,2188.33
1119149100,3196.08,0,1730.25,2189.33
1119149400,3196.93,0,1730.23,2188.33
1119149700,3197.33,0,1730.19,2189.67
1119150000,3197.62,0,1730.12,2189.33
1119150300,3198.32,0,1730.06,2192.33
1119150600,3198.72,0,1730.04,2192.67
1119150900,3198.56,0,1730.02,2191
1119151200,2665.33,0,1729.99,2192.33
1119151500,2665.45,0,1729.97,2194.67
1119151800,2666.47,0,1730.02,2195.67
1119152100,2667.09,0,1730.06,2188.33
1119152400,2667.64,0,1730.03,2184.33
1119152700,2668.3,0,1729.96,2190
1119153000,3202.27,0,1729.9,2189
1119153300,3203.2,0,1729.84,2188.67
1119153600,3203.63,0,1729.77,2191
1119153900,3203.98,0,1729.69,2194
1119154200,3204.56,0,1729.63,2199.67
1119154500,3205.57,0,1729.59,2197.67
1119154800,3206.2,0,1729.55,2201.67
1119155100,3206.47,0,1729.51,2205.67
1119155400,3206.81,0,1729.46,2209.67
1119155700,3207.64,0,1729.4,2210
1119156000,3208.47,0,1729.32,2207.67
1119156300,3209.13,0,1729.23,2211.33
1119156600,3209.72,0,1729.12,2209.67
1119156900,3210.33,0,1729,2210.33
1119157200,3211.02,0,1728.86,2205.33
1119157500,3211.51,0,1728.74,2211.67
1119157800,3212.32,0,1728.68,2215.67
1119158100,3212.99,0,1728.64,2215.33
1119158400,3214.18,0,1728.6,2219.67
1119158700,3215.1,0,1728.55,2219
1119159000,3215.98,0,1728.51,2221.33
1119159300,3216.73,0,1728.46,2217.33
1119159600,3217.29,0,1728.39,2218
1119159900,3217.83,0,1728.32,2219.67
1119160200,3217.91,0,1728.29,2216.67
1119160500,3218.42,0,1728.26,2210.33
1119160800,3218.85,0,1728.21,2206.67
1119161100,3219.01,0,1728.13,2206.67
1119161400,3219,0,1728.02,2209.33
1119161700,3219.24,0,1727.89,2208.67
1119162000,3219.31,0,1727.74,2215
1119162300,3219.38,0,1727.59,2224.67
1119162600,3219.04,0,1727.45,2230
1119162900,3218.89,0,1727.32,2232.67
1119163200,3218.53,0,1727.18,2228
1119163500,3218.13,0,1727.04,2228.33
1119163800,3217.91,0,1726.89,2224.33
1119164100,3217.66,0,1726.77,2220
1119164400,3218.15,0,1726.68,2218.67
1119164700,3218.16,0,1726.62,2217.33
1119165000,3218.88,0,1726.53,2219
1119165300,3219.02,0,1726.44,2219
1119165600,3219.29,0,1726.34,2218
1119165900,3219.57,0,1726.24,2220.33
1119166200,3219.66,0,1726.14,2219
1119166500,3219.88,0,1726.06,2216.67
1119166800,3219.54,0,1726.03,2217
1119167100,3219.85,0,1726.01,2217
1119167400,3219.55,0,1725.97,2216.67
1119167700,3219.24,0,1725.9,2213.67
1119168000,3218.23,0,1725.8,2215.67
1119168300,3217.78,0,1725.67,2220
1119168600,3217.24,0,1725.54,2217.67
1119168900,3216.6,0,1725.41,2216
1119169200,3216.36,0,1725.29,2219.67
1119169500,3216.38,0,1725.18,2221.67
1119169800,3216.54,0,1725.09,2220.33
1119170100,3216.52,0,1725.02,2217.67
1119170400,3216.61,0,1724.97,2219
1119170700,3216.5,0,1724.93,2220.33
1119171000,3216.97,0,1724.92,2217.33
1119171300,3216.56,0,1724.91,2215
1119171600,3216.27,0,1724.88,2215
1119171900,3215.92,0,1724.85,2217.67
1119172200,3215.81,0,1724.85,2218
1119172500,3215.66,0,1724.85,2214.33
1119172800,3214.99,0,1724.82,2216
1119173100,3214.5,0,1724.8,2220
1119173400,3214.45,0,1724.82,2220.67
1119173700,3214.42,0,1724.83,2217.33
1119174000,3213.66,0,1724.79,2217.33
1119174300,3213,0,1724.74,2223.33
1119174600,3212.31,0,1724.72,2222.33
1119174900,3212.3,0,1724.72,2219.67
1119175200,3211.9,0,1724.7,2217.67
