Date,ScalerCorr,error,pressure,activeSD
1012953600,1652.24,0,4.27885e+22,779.333
1012953900,1651.49,0,862.3,767
1012954200,1650.46,0,862.358,760.333
1012954500,1651.47,0,862.43,759.333
1012954800,1650.87,0,862.505,758.667
1012955100,1650.37,0,862.57,761.667
1012955400,1648.77,0,862.625,762
1012955700,1648.53,0,862.682,763.333
1012956000,1648.35,0,862.74,765
1012956300,1648.16,0,862.788,764.333
1012956600,1648.08,0,862.82,766
1012956900,1648.2,0,862.855,766.667
1012957200,1648.4,0,862.905,767.667
1012957500,1648.49,0,862.96,766.667
1012957800,1648.47,0,863,765
1012958100,1648.06,0,863.015,764
1012958400,1647.91,0,863.02,762.667
1012958700,1647.57,0,863.02,765.333
1012959000,1647.33,0,863.015,771.333
1012959300,1646.88,0,863.01,776
1012959600,1646.69,0,863.02,777
1012959900,1646.66,0,863.05,778.333
1012960200,1646.63,0,863.08,776.667
1012960500,1646.72,0,863.085,777.667
1012960800,1646.38,0,863.07,775.333
1012961100,1646.47,0,863.065,779
1012961400,1646.36,0,863.065,779
1012961700,1646.13,0,863.06,779.667
1012962000,1645.78,0,863.045,778.333
1012962300,1645.74,0,863.03,780.333
1012962600,1646.05,0,863.02,782
1012962900,1646.05,0,863.025,782
1012963200,1646.02,0,863.05,781.667
1012963500,1645.85,0,863.07,781.667
1012963800,1645.55,0,863.085,784
1012964100,1645.23,0,863.095,783.333
1012964400,1645.25,0,863.1,781.667
1012964700,1645.31,0,863.1,780.333
1012965000,1645.48,0,863.1,779.667
1012965300,1645.26,0,863.095,780
1012965600,1645.21,0,863.087,779
1012965900,1644.91,0,863.092,779
1012966200,1644.58,0,863.117,780
1012966500,1644.18,0,863.138,779.333
1012966800,1644.16,0,863.147,778
1012967100,1644.6,0,863.15,776.333
1012967400,1645.07,0,863.15,777.667
1012967700,1645.04,0,863.155,779
1012968000,1644.74,0,863.17,779.667
1012968300,1644.63,0,863.19,782.667
1012968600,1644.3,0,863.19,783
1012968900,1648.94,0,863.17,786
1012969200,1649.04,0,863.14,783
1012969500,1649.29,0,863.1,783.333
1012969800,1644.72,0,863.06,779.667
1012970100,1644.73,0,863.025,783.333
1012970400,1645.03,0,863.013,784.333
1012970700,1645.52,0,863.008,788
1012971000,1645.47,0,863.005,786.333
1012971300,1645.47,0,863.007,789.333
1012971600,1645.34,0,863.002,790.333
1012971900,1645.43,0,862.975,792.333
1012972200,1645.47,0,862.92,792.333
1012972500,1645.36,0,862.862,792.333
1012972800,1645.33,0,862.82,792
1012973100,1645.35,0,862.797,788
1012973400,1645.19,0,862.767,790
1012973700,1645.08,0,862.727,792
1012974000,1644.68,0,862.685,797
1012974300,1644.76,0,862.653,796.333
1012974600,1644.7,0,862.638,792.333
1012974900,1645.34,0,862.637,789.667
1012975200,1646.01,0,862.652,790
1012975500,1097.79,0,862.663,790.667
1012975800,1097.57,0,862.643,791
